    AMSTERDAM ROTTERDAM DEN+HAAG UTRECHT EINDHOVEN TILBURG GRONINGEN ALMERE+STAD BREDA NIJMEGEN ENSCHEDE HAARLEM ARNHEM ZAANSTAD AMERSFOORT APELDOORN DEN+BOSCH HOOFDDORP MAASTRICHT LEIDEN DORDRECHT ZOETERMEER ZWOLLE DEVENTER DELFT ALKMAAR HEERLEN VENLO LEEUWARDEN HILVERSUM HENGELO AMSTELVEEN ROOSENDAAL PURMEREND OSS SCHIEDAM SPIJKENISSE HELMOND VLAARDINGEN ALMELO GOUDA ZAANDAM LELYSTAD DELFSHAVEN ALPHEN+AAN+DEN+RIJN HOORN EDE BERGEN+OP+ZOOM ASSEN MIDDELBURG
AMSTERDAM 0.0 73.77 60.396 52.944 126.719 114.959 182.783 33.821 107.978 122.842 161.179 19.293 97.743 28.458 53.342 89.156 89.814 23.235 214.884 42.677 94.078 52.809 111.896 109.394 63.075 42.66 215.838 181.891 140.913 35.148 150.591 13.439 132.46 19.788 105.414 75.39 85.078 138.131 74.844 151.355 77.327 19.791 59.589 75.891 43.389 44.778 76.971 140.9 187.688 166.42
ROTTERDAM 73.77 0.0 26.879 61.773 110.502 76.587 246.013 99.885 50.465 108.411 195.142 72.086 111.758 84.347 81.278 123.119 78.711 58.931 198.119 35.536 25.619 29.069 145.571 143.358 15.772 97.121 199.074 167.683 205.421 78.438 184.554 69.587 60.617 93.126 94.311 6.301 23.669 125.816 13.435 185.318 24.073 84.299 122.819 3.993 37.907 109.286 96.595 67.963 221.363 125.962
DEN+HAAG 60.396 26.879 0.0 69.182 142.486 105.059 236.55 87.589 78.938 135.432 202.551 59.221 119.166 71.483 88.687 130.528 105.581 46.066 230.651 22.671 54.03 16.404 152.98 150.766 11.689 84.257 231.605 200.215 192.556 85.847 191.963 56.722 88.428 80.262 121.181 23.092 32.78 153.899 22.546 192.727 35.301 71.434 113.356 26.348 35.064 96.421 104.003 88.603 228.771 114.122
UTRECHT 52.944 61.773 69.182 0.0 91.646 79.832 187.617 41.489 72.852 89.756 138.771 63.35 64.657 73.724 24.907 66.747 54.741 63.705 179.811 58.933 58.951 55.955 89.199 86.986 71.01 88.385 180.765 149.375 159.292 20.042 128.182 44.647 97.333 65.534 70.341 65.351 80.781 103.059 70.547 128.946 46.453 65.057 64.423 66.326 42.974 90.045 49.494 115.53 164.991 173.53
EINDHOVEN 126.719 110.502 142.486 91.646 0.0 39.977 251.691 127.228 59.392 65.698 177.761 138.088 84.03 150.372 108.621 114.839 36.654 138.443 90.09 133.862 94.669 130.885 147.459 125.976 128.9 163.123 91.044 59.56 239.339 105.781 167.173 119.384 84.092 142.182 46.45 120.773 121.928 14.024 119.997 167.937 121.382 141.705 150.162 112.541 117.903 166.692 91.819 101.0 223.25 158.999
TILBURG 114.959 76.587 105.059 79.832 39.977 0.0 261.838 115.71 29.799 79.736 191.799 126.776 98.069 139.06 97.103 128.878 34.288 127.131 127.912 115.39 61.396 102.756 161.396 140.014 95.626 151.811 128.866 97.476 233.513 94.263 181.211 108.072 54.499 130.87 53.886 87.499 88.655 55.608 86.724 181.975 93.408 130.393 138.644 79.268 106.591 155.38 105.857 71.407 237.188 129.406
GRONINGEN 182.783 246.013 236.55 187.617 251.691 261.838 0.0 154.624 255.057 207.413 148.586 201.064 171.503 200.943 172.938 143.775 236.946 199.351 336.411 218.793 241.157 228.926 104.799 124.699 239.191 174.105 337.366 266.462 64.621 175.039 137.998 184.539 279.539 180.143 221.887 249.951 261.194 254.59 250.96 115.786 231.053 192.044 128.064 250.926 227.574 164.307 185.531 297.736 33.691 355.735
ALMERE+STAD 33.821 99.885 87.589 41.489 127.228 115.71 154.624 0.0 108.401 111.527 149.864 52.191 86.428 53.614 42.028 77.841 90.29 50.477 215.36 69.92 94.5 80.052 75.411 98.08 90.318 67.817 216.314 170.577 126.4 31.128 139.276 35.666 132.882 45.424 105.89 103.295 112.321 138.608 102.087 140.04 84.397 44.947 31.531 104.27 70.632 69.935 65.656 151.079 151.203 209.079
BREDA 107.978 50.465 78.938 72.852 59.392 29.799 255.057 108.401 0.0 95.318 204.406 120.214 114.943 132.499 90.542 132.383 49.87 112.567 147.156 89.173 35.178 76.538 154.835 152.621 69.409 145.25 148.111 116.72 226.952 87.702 193.818 101.511 24.601 124.309 69.468 61.282 62.437 74.853 60.506 194.582 67.19 123.832 132.083 53.05 81.025 148.819 106.128 41.509 230.626 99.508
NIJMEGEN 122.842 108.411 135.432 89.756 65.698 79.736 207.413 111.527 95.318 0.0 133.762 133.041 24.513 146.38 83.704 70.84 46.516 133.396 133.921 128.816 95.219 125.838 103.459 81.977 132.148 158.076 134.875 63.971 195.339 100.189 123.174 114.338 119.896 138.19 34.661 121.959 123.083 65.392 121.153 123.937 116.336 137.713 137.292 113.825 112.856 162.7 47.82 138.092 179.251 196.092
ENSCHEDE 161.179 195.142 202.551 138.771 177.761 191.799 148.586 149.864 204.406 133.762 0.0 180.122 97.412 181.545 118.869 74.409 159.652 178.408 239.814 197.851 191.847 191.246 74.504 62.078 206.301 195.748 240.768 160.032 161.282 135.354 9.222 163.597 230.23 173.355 147.796 200.642 216.072 180.499 205.838 31.554 181.744 172.878 134.886 201.617 178.265 197.866 105.559 248.426 118.52 306.426
HAARLEM 19.293 72.086 59.221 63.35 138.088 126.776 201.064 52.191 120.214 133.041 180.122 0.0 116.693 23.328 73.98 109.793 102.663 15.072 227.733 42.075 105.726 52.208 132.534 130.032 62.473 32.003 228.687 197.297 140.505 49.411 171.228 23.484 140.124 41.128 118.263 74.788 84.476 150.981 74.242 171.992 81.274 32.3 80.226 75.289 42.787 57.287 97.609 140.298 208.325 165.818
ARNHEM 97.743 111.758 119.166 64.657 84.03 98.069 171.503 86.428 114.943 24.513 97.412 116.693 0.0 119.023 56.347 35.516 64.364 114.991 167.033 110.204 99.879 107.226 68.135 46.652 122.281 133.226 167.987 97.083 160.015 72.832 87.849 95.932 138.68 110.833 52.509 116.622 127.743 85.211 125.812 88.613 97.724 110.356 109.935 117.597 94.245 135.344 19.995 151.425 143.926 209.425
ZAANSTAD 28.458 84.347 71.483 73.724 150.372 139.06 200.943 53.614 132.499 146.38 181.545 23.328 119.023 0.0 73.445 109.258 113.433 29.749 238.503 53.388 117.697 63.52 131.999 129.497 73.786 24.122 239.457 201.994 137.167 55.251 170.694 31.597 156.079 24.873 129.033 86.101 95.789 161.751 85.555 171.457 92.587 14.709 79.691 86.602 54.1 41.033 97.074 151.611 207.791 177.131
AMERSFOORT 53.342 81.278 88.687 24.907 108.621 97.103 172.938 42.028 90.542 83.704 118.869 73.98 56.347 73.445 0.0 46.978 72.391 67.16 197.462 78.978 76.602 76.0 69.43 67.217 91.055 84.499 198.416 139.714 156.077 24.106 108.414 52.348 114.984 62.107 87.991 85.396 100.826 120.709 90.592 109.177 66.498 61.63 61.208 86.371 63.019 86.617 34.794 133.181 145.222 191.18
APELDOORN 89.156 123.119 130.528 66.747 114.839 128.878 143.775 77.841 132.383 70.84 74.409 109.793 35.516 109.258 46.978 0.0 94.897 105.55 197.565 124.992 118.989 118.387 41.937 17.757 133.442 122.889 198.519 127.616 133.817 62.495 64.175 90.738 157.371 100.496 83.041 127.783 143.213 115.744 132.979 64.938 108.885 100.02 58.805 128.758 105.406 125.007 32.245 175.568 117.728 233.567
DEN+BOSCH 89.814 78.711 105.581 54.741 36.654 34.288 236.946 90.29 49.87 46.516 159.652 102.663 64.364 113.433 72.391 94.897 0.0 102.717 126.37 98.136 64.904 95.158 130.223 108.74 101.833 127.396 127.324 95.934 209.305 70.055 149.937 83.658 75.078 106.455 22.611 91.644 92.768 41.163 90.838 150.701 85.656 105.979 114.436 83.51 82.177 130.966 74.583 93.275 206.014 151.274
HOOFDDORP 23.235 58.931 46.066 63.705 138.443 127.131 199.351 50.477 112.567 133.396 178.408 15.072 114.991 29.749 67.16 105.55 102.717 0.0 224.286 27.334 90.985 37.466 128.978 126.476 47.732 42.078 225.24 193.85 155.852 45.964 167.672 20.036 125.382 43.558 114.815 60.047 69.735 147.533 59.501 168.436 66.533 34.73 76.67 60.548 28.046 59.717 94.052 125.557 204.769 151.077
